Characteristics,Mar-24,Mar-25,Mar-26,March 2024 to March 2026,March 2025 to March 2026,March 2025 to March 2026 (%),March 2024 to March 2026 (%)
15 years and over,1456.09,1500.86,1572.09,116,71.23,4.7,8
15 to 24 years,938,959.15,991.07,53.07,31.92,3.3,5.7
25 years and over,1498.64,1545.16,1616.53,117.89,71.37,4.6,7.9
Men+ ,1573.51,1621.1,1687.3,113.79,66.2,4.1,7.2
Women+ ,1318.89,1357.94,1439.1,120.21,81.16,6,9.1
Union coverage,1443.14,1508.9,1565.4,122.26,56.5,3.7,8.5
No union coverage,1462.15,1496.97,1575.33,113.18,78.36,5.2,7.7
Permanent employees,1473.31,1516.52,1592.1,118.79,75.58,5,8.1
Temporary employees,1211.96,1279.1,1291.83,79.87,12.73,1,6.6
Management occupations,2355.77,2391.86,2487.57,131.8,95.71,4,5.6
"Business, finance and administration occupations, except management",1321.4,1368.57,1449.38,127.98,80.81,5.9,9.7
"Natural and applied sciences and related occupations, except management",1779.78,1899.67,1949.04,169.26,49.37,2.6,9.5
"Health occupations, except management",1397.71,1470.36,1525.58,127.87,55.22,3.8,9.1
"Occupations in education, law and social, community and government services, except management",1528.12,1603.42,1671.84,143.72,68.42,4.3,9.4
"Occupations in art, culture, recreation and sport, except management",1374.53,1463.08,1444.22,69.69,-18.86,-1.3,5.1
"Sales and service occupations, except management",1002.28,1009.59,1066.54,64.26,56.95,5.6,6.4
"Trades, transport and equipment operators and related occupations, except management",1348.79,1399.69,1438.64,89.85,38.95,2.8,6.7
"Natural resources, agriculture and related production occupations, except management",1545.36,1673.41,1706.83,161.47,33.42,2,10.4
"Occupations in manufacturing and utilities, except management",1149.69,1183.23,1272.17,122.48,88.94,7.5,10.7
Men+ vs Women+ Pay Gap,254.62,263.16,248.2,-6.42,-14.96,-1.9,-1.9
